Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
Cason mine,35.81077,-91.62609,AR,Marine chemocline,Iron-manganese,manganese,Batesville cobalt-manganese district,CM-past producer,1,"Cason mine (1904 to 1918): 61,000 tons ore @~20% Mn. Total production for the district approximately 432,000 tons Mn ore and ferruginous Mn ore to the end of 1953.",Unknown.,MRDS (2005); Miser (1941),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10235175
Casper Mountain mine,42.73605,-106.32394,WY,Mafic magmatic,Chromite,chromium,Wyoming Metasedimentary and Metavolcanic Belts,CM resources,3,None.,"Resource (1945): 522,000 metric tons ore @8.7% Cr2O3.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10254356
Castle Dome (Pinto Valley),33.4105,-110.964,AZ,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Past producer+CM resources,2,"Production (1943-1946): 5,842 oz Au and 295,965 oz Ag; (1943-1959): 537,825,591 lbs Cu. Production (1974-2016): 25,470 oz Au, 45,007,156,260 lbs Cu, 16,263,616 lbs Mo, and 1,436,180 oz Ag.","Resource (2017): 1,438,000,000 metric tons ore @0.33% Cu, 0.01% Mo, 0.34 g/metric ton Au, and 0.16 g/metric ton Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Cave Peak,31.44179,-104.88089,TX,Climax-type,Porphyry molybdenum,"niobium, tin, tungsten",Cave Peak,CM resources,3,None.,"Reserve (1981): 11,000,000 short tons @0.1% Nb2O5; 30,892,000 short tons ore @0.05% Cu, 0.13% Mo, 0.01% W; cutoff 0.06% Mo; (1970): 100,000,000 short tons @0.001% Sn.",Karl and others (2021b),https://doi.org/10.5066/P9I4NFSN
Cement Creek,37.88334,-107.65064,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,San Juan tungsten veins,CM-past producer+resources,5,"Production in the Cement Creek district (1900-1953): 17,517 stu WO3.",Regional resource (1956): Inferred reserve 700 metric tons W.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008737
Cerro Gordo mine,36.53968,-117.79174,CA,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Eastern California tungsten,CM-past producer,1,"Production: about 4.4 million oz Ag, 37,000 tons Pb, and 12,000 tons Zn, with byproduct production of 2,000 oz Au and 300 ton Cu.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10076617
Chamberlain Creek,34.44012,-92.99208,AR,Basin brine path,Barite (replacement and bedded),barite,Ouachita barite deposits,CM-past producer+resources,5,Production: 8 million tons; leading United States barite producer from 1944 to 1966.,District reserve estimated to be in the millions of tons.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10187625
Chambers mine,44.35096,-118.81467,OR,Mafic magmatic,Chromite,chromium,Blue Mountains province,CM-past producer+resources,5,"Production (1917-1918): 5,440 tons @30-33% Cr2O3.","Reserves (1956): 125,000 tons ore @23% Cr2O3. Resource estimate (1980): 113,000 metric tons @23% Cr2O3. Property dropped from evaluation in 1980.",MRDS (2005); Hundhausen and others (1956),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10298900
Champlain Graphite Mine,43.53773,-73.48084,NY,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Glens Falls Graphite Areas,CM resources,3,Unknown.,Area contains 10 to 13 million tons of graphite schist.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10081464
Chino mine/Santa Rita deposit,32.794,-108.0771,NM,Porphyry Cu-Mo-Au,Porphyry/skarn copper,rhenium,Southwest Laramide Porphyry Belt,Recent producer+CM resources,4,"Production (Chino mine; 1911-2015): 44,500,000 lbs Mo, 500,000 troy oz Au, 4,750,000 troy oz Ag, and 14,768,000,000 lbs Cu. Location for Chino mine; (about 800 m SW of Santa Rita mine).","Resource (Santa Rita deposit; 2017): 3,030,000,000 metric tons ore @0.008% Mo, 0.468% Cu, 0.056 g/ Au, and 0.107 g/t Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Chloride Flat mines,32.78455,-108.30451,NM,Chemical weathering,Supergene manganese,manganese,Borderlands Carbonate Replacement Deposits,CM-past producer+resources,5,"Production (Chloride Flat district): 1,634,000 long tons Mn @11 to 16% Mn.",Reserve (Chloride Flat district): 10 million metric tons @10 to 16% Mn and 30 to 40% Fe.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009742
Chocolate Peak,32.59972,-108.52889,NM,Chemical weathering,Supergene manganese,"manganese, zinc",Silver City (Chloride Flat) manganese deposits,CM resources,3,None.,"Total resources (2000): 9,616,320 metric tons @0.20% Cu, 0.280% Zn, and 0.49% Mn.",Newmex Minerals Inc. (2000),
Christy V-Ti property,34.46679,-92.85017,AR,Magmatic REE,Carbonatite,"titanium, vanadium",Magnet Cove District-Potash Sulphur Springs,CM-past producer+resources,5,"Production: ~120,000 tons of TiO2 concentrates of 91.7% purity.",Reserve: ~2 Mt with an average grade of 1% V2O5.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10025008
Chrome Mountain Hybrid and Dunite Ridge nickel-copper-PGE deposit,45.43788,-110.12507,MT,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Stillwater Complex,CM resources,3,None.,"Inferred in-pit mineral resource estimates (2021): 64.5 million tonnes ore @0.17% Ni, 0.05% Cu, 0.01% Co, 0.19 g/tonne Pt, 0.29 g/tonne Pd, 0.07 g/tonne Au, and 0.02 g/tonne Rh; cutoff 0.2% NiEq.",Childs and Armitage (2021),
Claim Point,59.206,-151.8189,AK,Mafic magmatic,Chromite,chromium,Chugach Mountains-Kodiak Island PGE,CM-past producer+resources,5,"Production (1917-1918): 2,000 metric tons of chromite ore.","Conflicting estimates of remaining reserves. Foley and others (1992, p. 38) estimates a total resource of 82,000 metric tons of ore that grades 17.8% chromic oxide, whereas MacKevett and others (1978, p. 17) estimate a resource of 260,000 tons at 17.8% chromic oxide.",ARDF-ID: SV005; Foley and Barker (1985); Foley and others (1992); MacKevett and others (1978),
Clayton Valley South,37.72281,-117.59413,NV,Lacustrine evaporite,Residual brine,lithium,Clayton Valley-Rhyolite Ridge lithium,CM resources,3,None.,"Resource (2017): 331,500,000 cubic meters brine @123 mg/L Li.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
Clayton Valley-Cypress,37.73872,-117.53857,NV,Lacustrine evaporite,Lithium clay,lithium,Clayton Valley-Rhyolite Ridge lithium,CM resources,3,None.,"Inferred resource (2018): 1,120,310,000 tonnes ore @860 ppm Li; Indicated resource (2018) 831,042,000 tonnes ore @867 ppm Li.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
Clayton Valley-Zeus,37.77538,-117.50511,NV,Lacustrine evaporite,Lithium clay,lithium,Clayton Valley-Rhyolite Ridge lithium,CM resources,3,None.,"Inferred resource (2019): 330,670,000 tonnes ore @858 ppm Li.",Karl and others (2019),https://doi.org/10.5066/P9ZKRWQF
Cle Elum,47.44902,-121.05259,WA,Chemical weathering,Nickel-cobalt laterite,"chromium, nickel",Ingalls ophiolite,CM resources,3,None.,"Resource (1986): 7,520,000 metric tons ore @2.6% Cr2O3, 0.93% Ni, and 42% Fe.",MRDS (2005); Wetzel (1986),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10180389
Climax mine,39.36909,-106.1647,CO,Climax-type,Porphyry molybdenum,"PGE, rhenium, tin, tungsten",Climax-Sweet Home,CM-past producer+resources,5,"Production (1911-1995 [Sn, W]; 1911-2016 [Mo]): 3,400,000 lbs Sn, 44,395,000 lbs W, and 1,991,000,000 lbs Mo.","Proven and Probable mineral reserve (2016): 170,000,000 metric tons mill ore @0.15% Mo; Resource (2017): 800,000,000 metric tons ore @0.04 g/metric tons Re, and 0.44 ppb Pt. (1982): 340,000,000 metric tons ore @0.03% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Clinch Valley mine,36.37339,-83.40708,TN,Basin brine path,Zinc-lead (MVT and sedex),zinc,Copper Ridge Zinc District,CM-past producer+resources,5,"Production (1977-1981): 1,160,000 metric tons ore @~3.4% Zn.","In situ resource (1997) of 4,300,000 metric tons @3.2% Zn.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10232548
Clum,33.03817,-108.50173,NM,Magmatic REE,Fluorspar,fluorspar,Mogollon-Wilcox-Gila fluorite districts,CM-past producer,1,"Production: ~ 23,000 tons of 52 to 70% CaF2. Gila district production ~47,586 short tons fluorspar.",Unknown. Mines abandoned.,MRDS (2005); Ratte and others (1979),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10105534
Clyde,39.97974,-105.49883,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1907-1955): 35,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Coal Creek,62.9909,-149.8633,AK,Porphyry Sn (granite-related),Greisen,tin,Northern Alaska Range Sn-W,CM resources,3,None.,"Geologic resource (1982): Non-compliant conceptual estimate of 4,770,000 tonnes @0.27% Sn. Note ongoing exploration characterizing lithium mineralization as well as tin, silver, and zinc.",ARDF-ID TK005; Karl and others (2018); Thurow (1982); Ellis (2015); Lasly (2022),https://doi.org/10.5066/P97JYNJL
Cold Spring,39.98059,-105.48276,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1908-1935): 101,588 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Conger mine/Beddig mine,39.97535,-105.52223,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (Conger mine; 1904-1945): 450,000 stu WO3; (Beddig mine; 1905-1945): 60,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Consolidated Tungsten,36.63617,-119.11428,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Eastern California tungsten,CM-past producer,1,"Production (1942-1955): 33,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Coosa,32.91204,-86.40067,AL,Metamorphic,Graphite (coal or carbonaceous sed),graphite,Alabama Graphite-Vanadium Belt,CM-past producer+resources,5,Production (1902-1908): production at the Fixco mine.,"Total Measured, Indicated, and Inferred resource (2022): 111,588,723 metric tons @3.05% graphite.",Karl and others (2022a),https://doi.org/10.5066/P99RK9SU
Coosa Cassiterite mine (No. 1 mine),32.907,-86.1922,AL,Placer,Cassiterite,tin,Piedmont fluvial placers,CM-past producer,1,Production (1942): 88 tons Sn concentrate @0.56%.,Unknown.,Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Cordero,41.911,-117.81459,NV,Meteoric convection,Low sulfidation epithermal mercury,gallium,McDermitt Caldera,Past producer+CM resources,2,"Historical (1930s-1970) mercury production from the underground Cordero mine and open pits produced more than 115,000 flasks of mercury. McDermitt open pit (1975-1989) estimated production of ore than 400,000 flasks of mercury (not enriched in Ga).","Total Measured and Indicated resources (2008): 14,971,100 metric tons @47.7 ppm Ga (713,930 kg Ga). Total Inferred resources: 6,591,600 metric tons @43.7 ppm Ga (334,590 kg Ga).",Carew (2008),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10040311
Cornwall,40.26671,-76.41104,PA,IOA-IOCG,Polymetallic sulfide S-R-V,cobalt,Cornwall mines,CM-past producer+resources,5,"Production (1732-1973): 100,000,000 tons ore @0.3% Cu, 0.025% Co, 1.3% S, and 40% Fe.","Resources (1973 estimate): In-situ reserves of 22,675,000 metric tons @0.06% Cu and 0.056% Co.",Burger and others (2018),https://doi.org/10.5066/F7KP81F2
Cowboy,43.92575,-103.59636,SD,Porphyry Sn (granite-related),Pegmatite LCT,tin,Southern Black Hills pegmatites,CM-past producer+resources,5,"Production (1917): 4,000 ton ore.","Reserve (1953): 1,000 tons @0.46% Sn.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Cowlitz Clay,46.3515,-122.84201,WA,Chemical weathering,Bauxite,aluminum,Southwest Washington bauxite,CM resources,3,None.,"Total resource (1955): 10,056,000 metric tons ore @29.7% Al2O3 and 6.3% Fe2O3.",MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10180398
Cox Gulch (Big Creek),64.6619,-155.433,AK,Placer,Cassiterite,tin,Placer Au and Sn,CM-past producer,1,"Production (1962): 2,100 lbs Sn concentrate stockpiled.",Unknown.,ARDF-ID: RB011; Chapman and others (1963); Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Crandon deposit,45.48083,-88.91972,WI,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Pembine-Wausau and Minnesota Paleoproterozoic,CM resources,3,None.,"Resource: 61.1 Mt of ore grading 1.04% Cu, 5.56% Zn, 0.48% Pb, 1.2 g/t Au, and 43 g/t Ag.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10097436
Crescent mine,48.0775,-123.94333,WA,Volcanogenic seafloor,"Manganese oxide (layers, crusts, nodules)",manganese,Olympic Peninsula deposits,CM-past producer,1,"Production: 50,000 tons of ore (largely hausmannite).","For 17 Olympic Peninsula deposits, the median tonnage is 340 tons, and the median Mn grade is 35%.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10042389
Cressman Gulch,39.7861,-105.25614,CO,Magmatic REE,Peralkaline syenite/granite/rhyolite/alaskite/pegmatites,beryllium,Centennial Cone Prospect,CM-past producer+resources,5,"Produced potassium feldspar and ~1,000 lbs beryl and reworked dumps yielded 980 lbs beryl.","Probably 20 tons of beryl in 2,000 tons of beryl-bearing rock (Hanley and others, 1950).",MRDS (2005); Hanley and others (1950),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10013733
Crossit,39.98459,-105.47745,CO,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Boulder County tungsten district,CM-past producer,1,"Production (1907-1943): 40,000 stu WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Crowbar Gulch,34.82604,-118.76448,CA,Porphyry Sn (granite-related),Porphyry/skarn,"tin, tungsten",Gorman tin district,CM resources,3,None.,"Reserve (1946): 6,200 tons ore @0.4% Sn.",Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Crystal Mountain fluorspar mine,46.00572,-113.8876,MT,Magmatic REE,Fluorspar,"fluorspar, scandium",MT-ID Alkalic Belt,CM-past producer,1,"Production (1952-1958): 240,185 short tons of fluorite; Sc was recovered from mill tailings.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10069419
Cumberland (Carthage) mine (Middle Tennessee),36.25806,-85.93306,TN,Basin brine path,Zinc-lead (MVT and sedex),zinc,South Central Kentucky and North Central Tennessee mineral district,CM resources,3,Unknown.,"Reserve (1979): 13,800,000 metric tons ore @3.2% Zn.",MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10300051
Cumberland Island,30.84653,-81.42642,GA,Placer,Monazite/xenotime,REE,Lower Shoreline Placers,CM resources,3,None.,Resource (1982) 241 Mt @0.0178% monazite or 0.011% REO.,Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
CuMo,44.03394,-115.78297,ID,Porphyry Cu-Mo-Au,Porphyry/skarn molybdenum,"rhenium, tungsten",CuMo-Little Falls mineral districts,Past producer+CM resources,2,Recorded Au production of 2.8 million oz.,"Inferred resource (2020): 2,556,600,000 short tons ore @0.048% MoS2, 0.067% Cu, 0.017 ppm Re, 2.13 ppm Ag, and 0.282% S. Measured + Indicated resource (2020): 2,269,600,000 short tons ore @0.021 ppm Re, 0.057% MoS2, 0.084% Cu, 0.264% S, and 2.5 ppm Ag. Inferred resources (2015): 3,373,600,000 tons ore @32.1 ppm W. Measured + Indicated resource (2015): 2,524,500,000 tons @39 ppm W.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Cunningham Hill,35.33834,-106.13595,NM,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Texas-New Mexico alkaline belt,Past producer+CM resources,2,"Production (1979-1986): 6,000,000 tons ore @0.055 troy oz/ton Au.","Resource (1955): 2,901,616 short tons @0.711 troy oz/ton Au and 0.0683% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Daisy mine,36.88497,-116.69395,NV,Alkalic porphyry,Fluorspar,fluorspar,Daisy Mine,CM-past producer,1,"Production (1919-1961): 117.648 short tons of fluorite; (1997-2001) 104,251 oz Au.","Measured + Indicated resource aggregate (2006): 2,640,000 tons grading 0.032 oz/t Au.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10046672
Dalton Gulch,65.0995,-150.8424,AK,Placer,Cassiterite,tin,Placer Au,CM-past producer,1,"Production (1906-1956): 466 oz Au and 3,000 lbs (1.4 metric tons) Sn concentrate.",Unknown.,ARDF-ID: TN096; Karl and others (2018); Thomas (1957),https://doi.org/10.5066/P97JYNJL
Darwin mines,36.29025,-117.59979,CA,Porphyry Cu-Mo-Au,Polymetallic sulfide S-R-V-IS,zinc,Eastern California tungsten,CM-past producer+resources,5,"Production (through 1976): 1,716,696 short tons ore @9.3% Pb, 5.4% Zn, and 11.5 oz/ton Ag.","Darwin mine reserves (1957): 155,000 short tons @8.5% Zn, 6.1% Pb and 4.9 oz/ton Ag (may have been worked out by lessees in 1968-1970).",MRDS (2005); Long (1992),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10310607
Davis mines,37.5205,-88.1992,IL,Hybrid magmatic REE / basin brine path,Fluorspar,"fluorspar, zinc",Illinois-Kentucky Fluorspar District,CM-past producer,1,"Production (W.L. Davis mine; 1967): ~287,000 tons @40% CaF2, 12% Zn, and 3% Pb mined from the sub-Rosiclare Level, and 135,177 tons @50% CaF2 mined from the Bethel Level.",Unknown.,MRDS (2005); Denny and others (2020),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10106430
Day Brook chromite,35.96679,-82.28295,NC,Mafic magmatic,Chromite,chromium,Southeast Ultramafics Cr-Mg; Blue Ridge belt,CM-past producer,1,Production: minor.,Unknown.,MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10199889
Deep Creek,65.0614,-150.9887,AK,Placer,Cassiterite,tin,Placer Au,CM-past producer+resources,5,"Production (1906-1956): 6,864 oz Au, 653 oz Ag, and 64,200 lbs of cassiterite concentrate (60% Sn).","Indicated reserve (1985): 169,400 lbs Sn (includes amount of more than one commodity; includes Woodchopper and Deep Creek).",ARDF-ID: TN082; Karl and others (2018); Thomas (195); Warner (1985),
Deer Creek Canyon chromite,42.67276,-106.04123,WY,Mafic magmatic,Chromite,chromium,Wyoming Metasedimentary and Metavolcanic Belts,CM-past producer,1,"Production: 2,294 tons of ore containing 35–45% Cr2O3.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10132903
Deer Trail,38.38839,-112.27177,UT,Climax-type,Polymetallic sulfide S-R-V-IS,zinc,Marysvale,CM-past producer+resources,5,"Production: In 1945, the PTH tunnel produced 5,000 tons of ore averaging 2.84 % Pb, 0.76 % Cu, 6.26 % Zn, 15.17 oz/ton Ag, and 0.19 oz/ton Au. By 1964, the PTH tunnel had intersected the offset part of the Deer Trail orebody; from 1964-1981 this segment of the orebody produced about 100,000 tons of unoxidized sulfide ore averaging 5% Pb, 0.6 % Cu, 12% Zn, 15 oz/ton Ag, and 0.10 oz/ton Au.","Total resources (2002): 1,661,990 metric tons @5.5 g/t Au, 521 g/t Ag, 3.560% Pb, and 7.00% Zn.",Beaty and others (1986); Boden and others (2016); Martin (2013),
Delta project area,63.24773,-144.09221,AK,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Eastern Alaska Range,CM resources,3,None.,"Total Inferred resources (2006): 15,400,000 metric tons ore @1.7 g/metric ton Au, 62 g/metric ton Ag, 3.8% Zn, and 0.6% Cu. Resource applies to 7 drilled mineralized sulfide zones (LP, MID, DW, LPH, DDN, DDS, PP2). See ARDF records for Inferred resources for individual zones. "," Dashevsky and Schaefer (2011); ARDF-ID: MH319, MH325, MH334, MH338, MH340, MH341, MH345, and MH346 ",
Democrat Hills,38.10472,-105.36139,CO,Climax-type,Lithocap alunite,aluminum,Rosita Hills,Past producer+CM resources,2,Production (1886): 180 metric tons ore @1539 g/metric ton Ag and 27 g/metric ton Au.,"Resource (1943): estimated 720,000 tons alunite resource at 15% alunite.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009280
Diamond Creek,45.32748,-113.94673,ID,Magmatic REE,Carbonatite,REE,Sheep Creek-Mineral Hill,CM resources,3,None.,"Total Inferred resources (2008): 5,800,000 metric tons @1.22% lanthanides and 0.210% Th. Preliminary estimates of amounts of individual REE: about 22,600 t of Ce at a grade of about 0.34%, 17,125 t of Nd at about 0.25%, 8,220 t La at about 0.12%, 5,480 t of Sm at about 0.08%, 4,795 t of Y at about 0.07%, 3,425 t of P at about 0.05 , 3,425 t of Gd at about 0.05%, and 1,370 t of Dy and Eu at about 0.02%, each, and a total of 685 t of the other remaining heavy rare earths at about 0.005% or less each.",Reed (2008),
Dinning rutile,39.70002,-76.383,MD,Mafic magmatic,Iron-titanium oxide,titanium,State Line district/BMC (Baltimore Mafic Complex),CM resources,3,None.,"Resource (1984): 700,000 metric tons of TiO2 from rutile.",MRDS (2005); Force and Lynd (1984),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10068347
Doe Run mine,37.74506,-90.49317,MO,Basin brine path,Zinc-lead (MVT and sedex),zinc,Old Lead Belt Subdistrict,CM-past producer+resources,5,"Estimated production (2019-2023): 4,462,500 metric tons processed ore for 27,200 tons Zn, 188,610 tons Pb, 4,470 tons Cu, and 327,096 oz Ag.","Doe Run Mines reserves (2004): 40,824,000 metric tons @5.51% Pb, 1.31% Zn, and 0.29% Cu. District reserve: estimated 233 million metric tons with 3.3% Pb, 0.04% Zn and 2 g/t Ag.",MRDS (2005); Doe Run Resources Corporation (2006),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10072181
Dry Creek manganese,38.37608,-112.09299,UT,Climax-type,Lithocap alunite,"aluminum, manganese",Marysvale,CM-past producer+resources,5,Production: several hundred tons Mn ore. Production 1915-1920: about 250 short tons of alunite.,"Resource estimate (1946): 30,000,000 short tons of alunite.",MRDS (2005); Dicken and others (2022); Hild (1946),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10010342
Dry Lake Antimony mine,41.56493,-112.00859,UT,Coeur d'Alene-type,Antimony; Polymetallic sulfide,antimony,Box Elder district,CM-past producer,1,"Production (1943-1944): 6 tons of ore, averaging 50% Sb. Baker mine had a maximum production of 3,500 tons ore; assay from stockpile had 7.9% Pb, 0.1% Zn, and 0.5 oz/ton Ag.",Unknown.,MRDS (2005); Doelling (1980),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10088336
Dudley manganese deposit,46.68154,-68.19122,ME,Marine chemocline,Iron-manganese,manganese,Aroostook County manganese,CM resources,3,None.,"North Aroostook district resources 63,100,000 metric tons @9.54% Mn (6,110,000 metric tons of Mn). District Reserves of 1,300,000 tons Mn from Miller (1947) updated to 29,210,000 metric tons Mn in Cannon and others (2017), citing work by Kilgore and Thomas (1982) the North Aroostook district and Maple Mountain-Hovey Mountain areas. A combined resource (including reserves designated in early studies) for the Aroostook County deposits is calculated here to be ~327 Mt @9.0% Mn.",MRDS (2005); Cannon and others (2017); Slack and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10084656
Eagle mine,46.7464,-87.8848,MI,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift conduit-type magmatic sulfide Ni-Cu-PGE,CM-recent producer+resources,6,"Production (2014-2022): 158,176 metric tons Cu and 161,153 metric tons Ni. Eagle East is currently being mined through the Eagle mine.","Total reserves and resources (2022): 3,881,000 metric tons @1.88% Ni, 1.44% Cu, 0.15 g/t Au, 0.38 g/t Pt, 0.26 g/t Pd, 0.051% Co, and 6.04 g/t Ag.",Burger and others (2018); Clarke and others (2022),https://doi.org/10.5066/P9V74HIU
Eagle Point tungsten claims,31.76625,-108.45728,NM,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Sylvanite and Eureka Mining Districts,CM-past producer,1,"District production (Sylvanite district): 130,000 lbs Cu, 2,500 oz Au, 35,000 oz Ag, and 80,000 lbs Pb. In addition, 5,632 lbs of 0.044% WO3 produced in 1943.",Unknown.,MRDS (2005); Dicken and others (2022); Dale and McKinney (1959),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10009933
Eagle-Babb,37.27147,-88.24063,KY,Hybrid magmatic REE / basin brine path,Fluorspar,fluorspar,Illinois-Kentucky Fluorspar District,CM-past producer,1,"Production (1900; 1942-1945): 6,000 tons fluorspar ore.",Unknown.,MRDS (2005); Hardin (1955),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10267275
Earth Science Alunite,38.27552,-113.52498,UT,Climax-type,Lithocap alunite,aluminum,Pine Grove-Blawn Mountain-Broken Ridge-Pink Knolls,CM-past producer+resources,5,"Production: estimated to have been ~500,000 tons/year.","Blawn Mountain is the largest alunite resource in the U.S. with a Measured + Indicated resource of 812 Mt ore, 153 Mt of alunite = 77 Mt Al2O3 and 32 Mt K2SO4.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10010707
East Boulder Mine (J-M Reef PGE deposit),45.45723,-110.12152,MT,Mafic magmatic,PGE (low sulfide),PGE,Stillwater Complex,CM-recent producer+resources,6,"Production (2020): Stillwater and East Boulder mines produced a total of 603,066 2E PGE oz in 2020 (2E = PGE ratio of 78% Pd and 22% Pt).",Mineral resources (2019): 67.9 million tonnes ore @15.1 g/t 2E PGE. Mineral reserves (2019): 21.5 million tonnes @14.7 g/t PGE (2E = PGE ratio of 78% Pd and 22% Pt).,Childs and Armitage (2021),
Edwards mine,44.33092,-75.26706,NY,Basin brine path,Zinc-lead (MVT and sedex),zinc,Rossie-Balmat-Edwards mining districts,CM-past producer+resources,5,"Production (1915-1980): 6,500,000 metric tons ore @11% Zn.",Resource (2003): estimated diluted recoverable reserve for Balmat-Edwards 4 million tons of ore at 12.9% Zn.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10074401
Eight Dollar Mountain,42.25776,-123.6628,OR,Chemical weathering,Nickel-cobalt laterite,"chromium, cobalt, nickel",Oregon Cyprus-type massive sulfide,CM resources,3,None.,"Estimated resources (1975): 9,044,000 tonnes ore grading 0.04% Co, 0.56% Ni, and 0.93% Cr2O3; (1982) Identified resources 13,023,000 metric tons grading 1.1% Cr2O3.",Burger and others (2018); Lemons and others (1982),https://doi.org/10.5066/P9V74HIU
El Capitan,33.61808,-105.55572,NM,Alkalic porphyry,Porphyry/skarn copper-gold,platinum,Texas-New Mexico alkaline belt,CM resources,3,None.,"Total resources: 563,765,421 metric tons @0.156 g/t Au and 0.086 g/t Pt.",Smith (2022),
